month,s_obs,se_obs
0,1,0
1,.9928412354740773,.0019783886232689
2,.9844785068278079,.0029105893682642
3,.9771761283696359,.003523891400941
4,.9726694248626986,.0038510559750864
5,.9686622532054738,.0041222782085317
6,.964609922974457,.0043803444342185
7,.9546904888091878,.0049521034193783
8,.9488095783944849,.0052592201325054
9,.9398710284281977,.005693609421142
10,.9314379906998068,.006072260778424
11,.9259521053927525,.0063058325119905
12,.9142974692582814,.0067696412172421
13,.9061661299953282,.0070751293887481
14,.8973442521571228,.0073886712090263
15,.8922637277387886,.0075620266421912
16,.8845785506669513,.0078155582743791
17,.8761623917373833,.0080822645169454
18,.8696276049165439,.0082819575454194
19,.8636786329849737,.008459376731553
20,.8543225963130628,.0087294961197406
21,.8462058493414487,.0089555061089318
22,.8373429930886691,.0091928791658086
23,.8311787452208852,.0093520207390619
24,.8256090246166925,.0094944134440273
25,.8206783560101709,.0096188790310429
26,.8135449712774384,.0097962131504446
27,.8099328158274262,.0098850206856743
28,.8025830549830842,.010064850718152
29,.7951162687460068,.0102444452200665
30,.789829476216346,.010369392944014
31,.7836841821525694,.0105138800511684
32,.7790207546299499,.0106222956811627
33,.7687028418752851,.0108602446358077
34,.7631191919338881,.0109845038686811
35,.7558175112387742,.0111458003329123
36,.747586693014355,.0113242629365161
37,.7384325689606502,.0115170563566528
38,.7274862079606599,.0117396777168309
39,.7172275895944644,.0119418184343066
40,.7111490907273262,.01205959845485
41,.7050010177439381,.0121771692471757
42,.6961226622325178,.0123432475324701
43,.6880349529388186,.0124907875342909
44,.6816544335652421,.0126056165785
45,.6761372628547409,.0127032298023435
46,.6668621286889258,.0128631302303684
47,.6621337064859147,.0129445799142975
48,.6534728067553317,.0130932612499855
49,.646583377461548,.0132116345765064
50,.6395409762290705,.0133331882085919
51,.6293137530846862,.0135065575351693
52,.6230479831888742,.0136121697896666
53,.6177186686570989,.0137028150093919
54,.6144560497758852,.0137593029542074
55,.6056246002696865,.0139113246778171
56,.6011733041569121,.0139859918260874
57,.595458136884475,.0140846607670832
58,.5931343645718451,.0141252191239528
59,.5872051792076869,.0142307337542638
60,.5835902783990151,.0142953557900088
61,.5786782900460512,.0143844667646624
62,.5761456352782136,.0144325675918685
63,.5684550425952567,.0145774248704734
64,.5619566623333772,.0146976251466103
65,.5580022665664081,.0147704599021497
66,.5540067478724464,.0148437531673614
67,.5472100704725698,.0149696516062413
68,.5403006395627901,.0150961899647112
69,.5276866496248764,.0153181956359638
70,.5276866496248764,.0153181956359638
71,.5160565633129995,.0155226803147511
72,.505614944498196,.015702341549355
73,.4979951866143197,.0158311668225039
74,.4902033358355933,.0159624070412576
75,.4885908248624499,.0159911390617421
76,.4869783138893065,.0160194577333978
77,.4835960290026545,.0160857609315716
78,.4765868347702288,.0162299281699209
79,.4730165943159965,.0163035239225895
80,.4693566852704326,.0163815005585277
81,.4637684016700571,.0165011642148494
82,.4598945284961385,.0165891946900948
83,.4558508130184842,.016687972957808
84,.4496719997871527,.0168387568036219
85,.443445652919003,.0169849858382617
86,.4369975984477281,.017141171518353
87,.4369975984477281,.017141171518353
88,.42791481762575,.0173762393214173
89,.4208345750128371,.0175630314205628
90,.4088107300124703,.0178654422309782
91,.4014479036250415,.0180426191828902
92,.3988745196274451,.0181095499226431
93,.3883040496538742,.0183850101540133
94,.3883040496538742,.0183850101540133
95,.3799016633513033,.0186163173112045
96,.3799016633513033,.0186163173112045
97,.3799016633513033,.0186163173112045
98,.3711789689100908,.0188577874230112
99,.3711789689100908,.0188577874230112
100,.3711789689100908,.0188577874230112
101,.368136518345254,.0189470551420029
102,.3617614984797774,.0191477140751238
103,.3617614984797774,.0191477140751238
104,.3552432732819436,.0193494902593848
105,.3486336631134378,.0195458097493621
106,.3417977089347429,.0197512188514298
107,.338345206824291,.0198511660918858
108,.3311047368112784,.0200760030748617
109,.3311047368112784,.0200760030748617
110,.3311047368112784,.0200760030748617
111,.3311047368112784,.0200760030748617
112,.3270170240111391,.0202400268407638
113,.3228775680109981,.0204027306129956
114,.3228775680109981,.0204027306129956
115,.3186843528420241,.0205641455784844
116,.3059913771954,.0210105137784204
117,.3059913771954,.0210105137784204
118,.3059913771954,.0210105137784204
119,.3059913771954,.0210105137784204
120,.3059913771954,.0210105137784204
