parameter,value,unit,note
cVCd,718.48,AUD/cyc,PBS DPMQ 2025 (wholepack)
cVRd,1406.72,AUD/cyc,PBS DPMQ 2025 (wholepack)
cRd,1334.38,AUD/cyc,PBS DPMQ 2025 (wholepack)
cKd_p1,12621.32,AUD/cyc,PBS DPMQ 2025 (wholepack)
cKd_p2,15032.30,AUD/cyc,PBS DPMQ 2025 (wholepack)
cDVd_p1,23580.58,AUD/cyc,PBS DPMQ 2025 (wholepack)
cDVd_p2,8209.18,AUD/cyc,PBS DPMQ 2025 (wholepack)
cDVd_p3,7685.70,AUD/cyc,PBS DPMQ 2025 (wholepack)
cPd,3363.91,AUD/cyc,PBS DPMQ 2025 (wholepack)
cVd,542.52,AUD/cyc,PBS DPMQ 2025 (wholepack)
cOther,1002.41,AUD/cyc,PBS DPMQ 2025 (wholepack)
cMNT,907.90,AUD/cyc,PBS DPMQ 2025 (wholepack)
cVTd,1622.94,AUD/cyc,PBS DPMQ 2025 (wholepack)
cTCd,744.73,AUD/cyc,PBS DPMQ 2025 (wholepack)
cTd,1099.46,AUD/cyc,PBS DPMQ 2025 (wholepack)
cR,1096.88,AUD/cyc,PBS DPMQ 2025 (wholepack)
cT,530.69,AUD/cyc,PBS DPMQ 2025 (wholepack)
cVPod,3868.35,AUD/cyc,PBS DPMQ 2025 (wholepack)
cDadPo,11049.61,AUD/cyc,PBS DPMQ 2025 (wholepack)
cDad,7723.78,AUD/cyc,PBS DPMQ 2025 (wholepack)
cPoCd,3520.83,AUD/cyc,PBS DPMQ 2025 (wholepack)
cDa,7685.70,AUD/cyc,PBS DPMQ 2025 (wholepack)
cKCd,15189.22,AUD/cyc,PBS DPMQ 2025 (wholepack)
cKRd,9114.70,AUD/cyc,PBS DPMQ 2025 (wholepack)
cOther_L1,,AUD/cyc,PBS DPMQ 2025 (wholepack)
cOther_L2,,AUD/cyc,PBS DPMQ 2025 (wholepack)
cOther_L3,,AUD/cyc,PBS DPMQ 2025 (wholepack)
cOther_L4,,AUD/cyc,PBS DPMQ 2025 (wholepack)
cOther_L5,,AUD/cyc,PBS DPMQ 2025 (wholepack)
cOther_L6,,AUD/cyc,PBS DPMQ 2025 (wholepack)
cASCT,41723.26,AUD,AR-DRG R06 x NEP
cHosp_initial,30878.66,AUD/yr,Yap 2025 cHosp initial phase (to 2025)
cHosp_continuing,14840.65,AUD/yr,Yap 2025 cHosp continuing phase (to 2025)
cHosp_terminal,73136.99,AUD/yr,Yap 2025 cHosp terminal phase (to 2025)
cMBS_initial,9878.46,AUD/yr,Yap 2025 cMBS initial phase (to 2025)
cMBS_continuing,4946.89,AUD/yr,Yap 2025 cMBS continuing phase (to 2025)
cMBS_terminal,9648.36,AUD/yr,Yap 2025 cMBS terminal phase (to 2025)
cEmer_initial,1225.24,AUD/yr,Yap 2025 cEmer initial phase (to 2025)
cEmer_continuing,587.75,AUD/yr,Yap 2025 cEmer continuing phase (to 2025)
cEmer_terminal,2977.90,AUD/yr,Yap 2025 cEmer terminal phase (to 2025)
